"Categoria","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Energia","2791358.668858528","2872739.6227531135","3129135.337741852","2980944.992725849","2967232.8019428253","3282793.4655151367","3752274.222099781","4010508.0618730932","4738386.25915432","4847150.0732803345","4629102.3558802605","4607129.550634146","4639643.389625549","3940742.252345048","4677814.61840874","5080328.990624808","4382041.962528432","5191495.352713483","5749143.902940008","5761094.493203417","7410206.715334967","8183517.39574543","9299611.330233207","11135670.462344622","12926253.445809782","12456607.935948683","11570009.986353993","11690105.577740574","10513101.612825576","10205916.098224653","9446437.318090085","11673543.396220421","8798073.186207246","9137408.25712879"
"Mudança de Uso da Terra e Floresta","7503382.715635091","9209673.161086112","7820601.306327343","6495845.150849223","4682775.60728991","6207047.868092388","5553833.682682455","4732805.933122754","3753593.4339944124","4592738.813940465","3889410.882401973","3392054.8079198003","3590409.144398272","4225445.615000784","4204145.0954242945","3980337.576741934","4730144.28248018","4664516.905588537","2868661.2669902444","3459274.807327032","4279345.986881465","4697103.073601872","4816154.129703641","3197820.054007441","3231075.164628476","2853198.3392169774","2829236.762539178","2820756.9745152295","3909336.8579678535","4514771.668860823","3822820.847686887","6507198.194459081","6528205.682675034","6443692"
"Agropecuária","2027330.8073416376","2098783.4069274757","1871212.593454288","1413450.951238866","1569419.6791101608","1555685.2773607185","1848357.4821129644","1741129.3242226187","1512127.2909103066","1437338.5229168723","1577782.9480189905","1661278.2571879185","1777162.659663702","1791939.6026223323","1800165.7435974944","1969533.2537036692","2125036.4534072047","2161230.039992448","2167208.325205806","2200651.2140495656","2268678.044000604","2306440.9835453564","1874904.2592274102","1869870.2684068398","1992111.9017219404","2080446.040306595","2052002.7923443394","1987020.133927094","2054345.518616118","2208140.2594730076","2402957.042718834","2642605.5195654784","2594926.5894936672","2712457.600001563"
"Resíduos","213027.2327752225","222673.28247711144","227554.8643914671","234167.68857490725","243561.72960415125","251399.25674342667","264100.1647754271","275319.80614585726","288694.66615647665","304746.22464337456","320721.8533006064","336688.46799194097","356250.68933271465","381147.1138137065","398761.7761086881","418931.1386377889","443079.07832269516","458336.06905530766","485861.3744851479","492524.0580383424","501343.60293695505","519662.58124335925","515021.2044927755","471323.72292116727","467198.74868407764","467539.7854570487","464426.3976910834","461747.0161723399","500544.8810541309","535829.4614916863","530746.6306671454","542001.4161046152","524832.3483442036","483359.4696270549"
"Processos Industriais","173565.875","197977.09375","175595.078125","170900.046875","173473.890625","183551.3125","186928.296875","176626.28125","205399.28125","208637.71875","200799.015625","194507.234375","200318.921875","148030.0625","150867.265625","189812.375","201591.59375","250142.859375","283786.875","301939.25","305129.46875","378963.28125","446717.375","444908.65625","453193.40625","343716.484375","224866.40234375","162067.90625","97946.421875","139239.953125","173294.828125","136736.78125","101448.4453125","122101.0859375"
